Hotel ID,Place Name,lat,long,distance,Rating,Number of Ratings,Place Type,Hotel Name,Hotel Address
1,LaGuardia Airport,40.7766422,-73.8742467,7237.124585537369,4.1,29205,"airport,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Times Square,40.7579747,-73.9855426,2742.0114958140557,4.7,217247,"tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Penn Station,40.750568,-73.993519,3787.476754303567,4.0,5383,"train_station,transit_station,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Central Park,40.7825547,-73.9655834,1123.9848119848093,4.8,278893,"park,tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,The Metropolitan Museum of Art,40.7794366,-73.963244,727.8228133284213,4.8,84037,"tourist_attraction,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Rockefeller Center,40.7587402,-73.9786736,2255.8194061759223,4.7,179342,"historical_landmark,tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Brooklyn Bridge,40.7060855,-73.9968643,8095.499535923213,4.8,78689,"tourist_attraction,landmark,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Empire State Building,40.7484405,-73.98566439999999,3508.7159622585086,4.7,109516,"historical_landmark,tourist_attraction,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Grand Central Terminal,40.7533582,-73.9768041,2631.0655689293512,4.7,6907,"train_station,transit_station,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,American Museum of Natural History,40.7813241,-73.9739882,1469.1179163888658,4.5,21044,"tourist_attraction,historical_landmark,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,The Museum of Modern Art,40.7614327,-73.97762159999999,1984.0067258122024,4.6,52031,"tourist_attraction,art_gallery,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,9/11 Memorial & Museum,40.7115776,-74.0133362,8203.705738071316,4.8,81993,"park,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Bryant Park,40.7535367,-73.9829529,2925.9985021078414,4.7,95861,"park,tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Madison Square Garden,40.7505045,-73.9934387,3787.1833510970164,4.7,30595,"stadium,tourist_attraction,event_venue,sports_complex,sports_club,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Yankee Stadium,40.8296426,-73.9261745,6879.949923644671,4.7,55270,"stadium,tourist_attraction,athletic_field,event_venue,sports_complex,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,SUMMIT One Vanderbilt,40.752764,-73.9787461,2776.3295656166097,4.6,19258,"tourist_attraction,museum,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Port Authority Bus Terminal,40.7569006,-73.9902798,3132.3000325640955,3.6,6796,"bus_station,transit_station,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,The High Line,40.747992499999995,-74.0047649,4702.115523675177,4.7,60507,"park,tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,Moynihan Train Hall at Penn Station,40.751713699999996,-73.9957489,3848.220622898427,4.4,1638,"train_station,transit_station,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
1,The Battery,40.702931199999995,-74.0153603,9110.094363212767,4.6,73537,"park,tourist_attraction,point_of_interest,establishment",Gramercy Park Hotel,Two Lexington Avenue New York
2,Tanger Outlets Palm Beach,26.725649299999997,-80.0861433,9048.271268703986,4.5,12918,"shopping_mall,clothing_store,sporting_goods_store,store,point_of_interest,establishment",Palm Beach Marriott Singer Island Beach Resort & Spa,3800 North Ocean Drive
