Hotel ID,Place Name,lat,long,distance,Rating,Number of Ratings,Place Type,Hotel Name,Hotel Address
3501,HCA Houston Healthcare Conroe,30.284568900000004,-95.4677134,7655.755812246532,4.0,2717,"hospital,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Hyatt Regency Conroe,30.266799499999998,-95.4615017,9709.286593148103,4.7,156,"hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Social Security Administration,30.3128824,-95.4788007,4394.383934624418,2.8,413,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Holiday Inn Club Vacations Piney Shores Resort at Lake Conroe,30.3808799,-95.5420013,6575.3726961840275,4.1,2094,"resort_hotel,hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,United States Postal Service,30.3177474,-95.4652208,4166.375912951281,1.7,629,"post_office,local_government_office,finance,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Texas Department of Public Safety,30.334733900000003,-95.4556727,3193.6457970920164,2.7,676,"local_government_office,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Carl Barton Jr Park,30.2896966,-95.4145808,9504.748100555289,4.6,1395,"park,tourist_attraction,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Candy Cane Park,30.3218656,-95.469813,3581.068766035658,4.7,1760,"tourist_attraction,park,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Homewood Suites by Hilton Conroe,30.3522009,-95.4871259,492.2186062881961,4.7,593,"extended_stay_hotel,hotel,lodging,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Planet Fitness,30.331434599999998,-95.46502199999999,2835.4329173276224,4.3,1197,"gym,fitness_center,spa,health,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Gene Campbell Sports Park,30.353215700000003,-95.4371628,4303.246222781177,4.4,207,"athletic_field,park,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Sam Houston State University College of Osteopathic Medicine,30.267004899999996,-95.4587658,9743.659815107336,4.6,25,"university,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
3501,Sacred Heart Catholic Church,30.3089119,-95.4610998,5225.406949982737,4.8,384,"church,event_venue,place_of_worship,point_of_interest,establishment",Fairfield Inn & Suites Houston Conroe Near The Woodlands®,3010 Interstate 45 North Conroe
