id,Hotel Name,Address
2559,Fairfield Inn & Suites Charleston,402 2nd Avenue SW Charleston
2560,Fairfield Inn & Suites Charleston Airport/Convention Center,4841 Tanger Outlet Blvd North Charleston
2561,Fairfield Inn & Suites Charleston North/Ashley Phosphate,2540 North Forest Drive North Charleston
2562,Fairfield Inn & Suites Charleston North/University Area,2600 Elms Center Road North Charleston
2563,Fairfield Inn & Suites Charlotte Matthews,8540 East Independence Boulevard Charlotte
2564,Fairfield Inn & Suites Charlotte Monroe,1825 Williams Road Monroe
2565,Fairfield Inn & Suites Charlotte Pineville,12228 Park Road Pineville
2566,Fairfield Inn & Suites Charlotte University Research Park,535 Collins-Aikman Drive Charlotte
2567,Fairfield Inn & Suites Charlotte Uptown,201 South McDowell Street Charlotte
2568,Fairfield Inn & Suites Chattanooga,2345 Shallowford Village Drive Chattanooga
2569,Fairfield Inn & Suites Chattanooga South/East Ridge,1453 North Mack Smith Road East Ridge
2570,Fairfield Inn & Suites Chesapeake,1560 Crossways Boulevard Chesapeake
2571,Fairfield Inn & Suites Chesapeake Suffolk,2122 Jolliff Road Chesapeake
2572,Fairfield Inn & Suites Chicago Lombard,645 West North Ave Lombard
2573,Fairfield Inn & Suites Chicago Midway Airport,6630 South Cicero Avenue Bedford Park
2574,Fairfield Inn & Suites Chicago Naperville/Aurora,1847 West Diehl Road Naperville
2575,Fairfield Inn & Suites Chicago O'Hare,2350 Mannheim Road Des Plaines
2576,Fairfield Inn & Suites Chicago Southeast/Hammond,7720 Corinne Drive Hammond
2577,Fairfield Inn & Suites Chicago St. Charles,2096 Bricher Road St. Charles
2578,Fairfield Inn & Suites Chillicothe,220 West Business 36 Highway Chillicothe
2579,Fairfield Inn & Suites Cincinnati Airport South/Florence,5910 Merchants Street Florence
2580,Fairfield Inn & Suites Cincinnati Eastgate,4521 Eastgate Boulevard Cincinnati
2581,Fairfield Inn & Suites Clarksville,110 Westfield Court Clarksville
2582,Fairfield Inn & Suites Clearwater,3070 Gulf to Bay Boulevard Clearwater
2583,Fairfield Inn & Suites Colorado Springs East/Ballpark,4107 Tutt Boulevard Colorado Springs
2584,Fairfield Inn & Suites Colorado Springs North/Air Force Academy,15275 Struthers Road Colorado Springs
2585,Fairfield Inn & Suites Columbia,1545 Halifax Drive Columbia
2586,Fairfield Inn & Suites Columbia Northeast,120 Blarney Drive Columbia
2587,Fairfield Inn & Suites Columbus,4510 Armour Road Columbus
2588,Fairfield Inn & Suites Columbus,2820 Merchants Mile Columbus
2589,Fairfield Inn & Suites Columbus Dublin,7150 Sawmill Road Columbus
2590,Fairfield Inn & Suites Columbus East,2826 Taylor Road EXT Reynoldsburg
2591,Fairfield Inn & Suites Columbus Grove City,1722 Buckeye Place Grove City
2592,Fairfield Inn & Suites Columbus Hilliard,5520 Maxwell Place Columbus
2593,Fairfield Inn & Suites Columbus Marysville,16703 Square Drive Marysville
2594,Fairfield Inn & Suites Columbus New Albany,4976 East Dublin Granville Road Columbus
2595,Fairfield Inn & Suites Columbus Polaris,9000 Worthington Road Columbus
2596,Fairfield Inn & Suites Commerce,137 Frontage Road Commerce
2597,Fairfield Inn & Suites Cookeville,1200 Sams Street Cookeville
2598,Fairfield Inn & Suites Coralville,650 Coral Ridge Avenue Coralville
2599,Fairfield Inn & Suites Cordele,2001 16th Avenue East Cordele
2600,Fairfield Inn & Suites Corpus Christi,5217 Blanche Moore Drive Corpus Christi
2601,Fairfield Inn & Suites Corpus Christi Aransas Pass,2679 Business Highway 35 Aransas Pass
2602,Fairfield Inn & Suites Corpus Christi Central,522 South Padre Island Drive Corpus Christi
2603,Fairfield Inn & Suites Crestview,110 Crosson Street Crestview
2604,Fairfield Inn & Suites Cumberland,21 North Wineow Street Cumberland
2605,Fairfield Inn & Suites Dallas Arlington South,4251 South Collins Street Arlington
2606,Fairfield Inn & Suites Dallas DFW Airport North/Coppell Grapevine,1150 Northpoint Drive Coppell
2607,Fairfield Inn & Suites Dallas DFW Airport South/Irving,4210 West Airport Freeway Irving
2608,Fairfield Inn & Suites Dallas Mansfield,1480 US Highway 287 North Mansfield
2609,Fairfield Inn & Suites Dallas Medical/Market Center,2110 Market Center Boulevard at Stemmons Dallas
2610,Fairfield Inn & Suites Dallas Waxahachie,2020 Civic Center Lane Waxahachie
2611,Fairfield Inn & Suites Dayton South,8035 Washington Village Drive Dayton
2612,Fairfield Inn & Suites Dayton Troy,83 Troy Town Drive Troy
2613,Fairfield Inn & Suites Deerfield Beach Boca Raton,301 Hillsboro Technology Drive Deerfield Beach
2614,Fairfield Inn & Suites Denton,2900 West University Drive Denton
2615,Fairfield Inn & Suites Denver Airport at Gateway Park,16191 E 40th Ave Denver
2616,Fairfield Inn & Suites Denver Aurora/Medical Center,13851 East Harvard Avenue Aurora
2617,Fairfield Inn & Suites Denver Aurora/Parker,24192 East Prospect Avenue Aurora
2618,Fairfield Inn & Suites Denver Cherry Creek,1680 South Colorado Blvd Denver
2619,Fairfield Inn & Suites Denver North/Westminster,12080 Melody Drive Westminster
2620,Fairfield Inn & Suites Denver Northeast/Brighton,948 Platte River Boulevard Brighton
2621,Fairfield Inn & Suites Denver Southwest/Lakewood,3605 South Wadsworth Boulevard Lakewood
2622,Fairfield Inn & Suites Denver Tech Center North,5071 South Syracuse Street Denver
2623,Fairfield Inn & Suites Denver West/Federal Center,140 South Union Boulevard Lakewood
2624,Fairfield Inn & Suites Des Moines Airport,6880 Fleur Drive Des Moines
2625,Fairfield Inn & Suites Des Moines Altoona,460 Bass Pro Drive Northwest Altoona
2626,Fairfield Inn & Suites Des Moines Downtown,207 Crocker Street Des Moines
2627,Fairfield Inn & Suites Des Moines West,7225 Vista Drive West Des Moines
2628,Fairfield Inn & Suites Detroit Canton,5760 North Haggerty Road Canton
2629,Fairfield Inn & Suites Detroit Metro Airport Romulus,7800 Merriman Road Romulus
2630,Fairfield Inn & Suites Detroit Troy,225 Stephenson Highway Troy
2631,Fairfield Inn & Suites Dickson,147 Gum Branch Road Dickson
2632,Fairfield Inn & Suites Dover,655 North Dupont Highway Dover
2633,Fairfield Inn & Suites Dunn I-95,688 Jackson Road Dunn
2634,Fairfield Inn & Suites Durham Southpoint,7807 Leonardo Drive Durham
2635,Fairfield Inn & Suites Eau Claire Chippewa Falls,1666 Princeton Crossing Eau Claire
2636,Fairfield Inn & Suites Edison-South Plainfield,875 New Durham Road Edison
2637,Fairfield Inn & Suites Effingham,1111 North Henrietta Street Effingham
